Accelerometer Test

-------    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

123
Max Value:    -156.91 m/s^2
Min Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

Accelerometer Test

------------------------------------
Sensor:       ADXL345
Driver Ver:   1
Unique ID:    123
Max Value:    -156.91 m/s^2
Min Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

Data Rate:    1600  Hz
Range:         +/- 8  g

Offset 8000
0,6,0,242
1,2,2,252
2,0,0,238
3,4,0,238
4,4,2,244
5,0,2,244
6,6,0,242
7,4,0,246
8,0,2,248
9,0,4,240
10,2,0,242
11,8,0,246
12,4,0,248
13,4,0,240
14,0,6,244
15,4,0,242
16,4,0,242
17,2,6,242
18,2,0,250
19,65530,0,242
20,4,0,240
21,4,2,240
22,2,0,254
23,6,2,244
24,2,0,248
25,0,0,240
26,0,0,246
27,6,65534,244
28,2,0,246
29,4,2,246
30,0,0,246
31,6,0,238
32,4,4,236
33,8,0,246
34,12,6,252
35,12,6,244
36,12,10,252
37,12,6,244
38,14,4,244
39,8,2,250
40,14,4,252
41,12,2,234
42,10,6,252
43,8,4,248
44,2,14,250
45,12,0,250
46,14,6,244
47,6,0,250
48,12,6,256
49,10,4,252
50,10,2,246
51,10,6,252
52,14,4,250
53,6,4,248
54,10,6,246
55,8,6,252
56,6,14,236
57,4,2,250
58,10,10,248
59,14,4,252
60,2,6,244
61,6,10,256
62,10,4,250
63,10,0,242
64,4,6,250
65,12,4,246
66,6,0,246
67,14,8,242
68,10,6,252
69,8,2,248
70,12,8,254
71,10,8,250
72,6,0,242
73,12,2,254
74,8,12,256
75,10,6,254
76,6,2,248
77,8,6,248
78,10,12,254
79,2,2,246
80,12,0,244
81,12,6,248
82,4,4,248
83,10,8,254
84,10,4,250
85,6,4,250
86,8,10,252
87,14,6,254
88,8,0,252
89,0,4,248
90,10,2,252
91,12,12,248
92,6,0,240
93,18,2,252
94,4,12,254
95,4,0,242
96,8,8,246
97,10,10,244
98,14,0,242
99,8,2,258
100,4,8,254
101,10,2,250
102,8,8,248
103,6,12,244
104,10,2,246
105,4,0,244
106,4,10,250
107,8,6,248
108,12,8,248
109,8,2,238
110,8,4,248
111,14,0,252
112,2,0,252
113,10,0,244
114,6,4,256
115,10,12,246
116,2,6,248
117,0,4,244
118,2,4,248
119,0,65532,256
120,12,6,252
121,16,4,246
122,4,0,242
123,10,8,250
124,12,6,256
125,0,0,242
126,0,2,248
127,0,0,242
128,6,6,252
129,12,2,248
130,2,12,246
131,10,4,242
132,6,8,248
133,6,2,238
134,0,0,244
135,8,4,250
136,6,10,254
137,12,4,234
138,8,0,244
139,12,8,248
140,8,8,232
141,12,65530,240
142,8,0,246
143,10,10,248
144,10,6,246
145,8,6,240
146,8,4,256
147,6,6,252
148,6,4,254
149,6,0,240
150,4,0,240
151,8,4,244
152,12,10,250
153,6,6,254
154,10,4,250
155,12,0,250
156,6,4,248
157,8,0,246
158,2,0,242
159,8,8,254
160,22,65526,250
161,12,2,250
162,8,14,250
163,0,6,250
164,16,4,248
165,2,4,250
166,4,0,242
167,12,2,248
168,0,2,248
169,12,4,250
170,16,4,248
171,8,0,246
172,10,4,250
173,0,6,242
174,0,0,250
175,18,4,248
176,4,12,254
177,14,4,240
178,14,4,246
179,6,10,248
180,8,4,256
181,6,0,238
182,2,4,244
183,2,4,244
184,8,4,250
185,10,8,252
186,6,0,248
187,14,6,254
188,4,2,250
189,4,0,240
190,2,2,250
191,6,0,250
192,16,0,252
193,6,8,250
194,6,2,248
195,6,6,254
196,12,6,250
197,2,0,246
198,8,0,238
199,16,4,252
200,14,12,254
201,10,0,250
202,14,6,252
203,10,2,252
204,2,8,244
205,4,0,246
206,6,2,256
207,10,4,244
208,14,6,246
209,10,2,248
210,12,4,246
211,8,6,250
212,0,0,240
213,4,2,246
214,14,10,248
215,8,6,250
