in Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

123
Max Value:    -156.91 m/s^2
Min Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

Accelerometer Test

------------------------------------
Sensor:       ADXL345
Driver Ver:   1
Unique ID:    123
Max Value:    -156.91 m/s^2
Min Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

Data Rate:    1600  Hz
Range:         +/- 8  g

Offset 8000
285,22,65506,244
286,26,65514,250
287,24,65510,252
288,18,65508,246
289,22,65514,250
290,22,65516,250
291,14,65516,248
292,18,65510,240
293,18,65508,250
294,26,65516,246
295,24,65516,252
296,24,65512,250
297,22,65518,248
298,24,65510,250
299,26,65518,254
300,20,65506,244
301,20,65512,238
302,24,65520,252
303,22,65508,242
304,26,65512,250
305,28,65518,256
306,18,65510,248
307,24,65516,248
308,16,65512,248
309,16,65506,244
310,28,65516,246
311,28,65510,252
312,22,65518,254
313,24,65522,256
314,18,65516,248
315,18,65520,244
316,10,65516,246
317,18,65512,250
318,24,65512,246
319,20,65522,250
320,28,65518,248
321,20,65524,248
322,22,65512,246
323,22,65522,240
324,14,65516,238
325,16,65520,242
326,14,65512,246
327,28,65518,244
328,26,65520,248
329,22,65514,254
330,24,65520,250
331,14,65514,246
332,16,65512,236
333,14,65518,240
334,22,65528,248
335,22,65520,248
336,20,65518,240
337,24,65520,250
338,24,65522,244
339,24,65522,246
340,16,65516,236
341,20,65514,232
342,22,65522,246
343,20,65526,246
344,18,65518,240
345,22,65522,242
346,26,65524,250
347,18,65520,242
348,18,65516,244
349,20,65518,240
350,22,65524,248
351,22,65524,246
352,24,65516,248
353,26,65526,246
354,28,65518,246
355,14,65520,240
356,12,65518,240
357,22,65524,246
358,24,65524,250
359,22,65522,246
360,18,65528,250
361,24,65522,246
362,20,65522,250
363,14,65516,240
364,18,65514,238
365,24,65520,250
366,24,65524,252
367,18,65522,242
368,24,65526,246
369,24,65524,246
370,18,65524,240
371,12,65516,246
372,18,65516,236
373,20,65530,246
374,26,65524,246
375,22,65522,250
376,26,65522,244
377,26,65522,252
378,18,65522,246
379,16,65514,238
380,18,65512,244
381,26,65520,246
382,18,65520,246
383,22,65520,248
384,24,65524,246
385,16,65520,244
386,24,65522,248
387,18,65518,242
388,14,65518,238
389,26,65524,246
390,24,65520,248
391,22,65518,250
392,22,65524,242
393,22,65522,244
394,22,65520,248
395,18,65516,240
396,14,65510,242
397,20,65522,246
398,20,65526,246
399,24,65520,244
400,20,65518,230
401,22,65526,246
402,26,65520,252
403,16,65518,238
404,24,65510,240
405,20,65518,240
406,26,65520,246
407,24,65524,242
408,22,65518,238
409,24,65526,248
410,18,65516,246
411,20,65514,238
412,20,65516,240
413,28,65520,244
414,26,65522,244
415,28,65518,242
416,28,65516,242
417,30,65520,248
418,30,65520,246
419,20,65516,248
420,20,65512,250
421,22,65520,250
422,24,65524,244
423,24,65514,240
424,20,65524,244
425,24,65518,248
426,26,65520,240
427,18,65510,242
428,16,65520,250
429,32,65522,246
430,28,65518,252
431,28,65520,248
432,32,65516,250
433,30,65522,246
434,22,65512,242
435,22,65512,244
436,26,65516,246
437,30,65518,246
438,24,65520,246
439,28,65518,252
440,26,65518,250
441,26,65518,246
442,20,65506,240
443,22,65510,244
444,30,65516,250
445,30,65518,246
446,24,65510,244
447,26,65520,250
448,28,65522,250
449,26,65508,240
450,18,65516,242
451,24,65506,248
452,32,65518,250
453,30,65516,246
454,32,65518,250
455,40,65514,254
456,30,65520,254
457,30,65516,248
458,22,65510,246
459,26,65508,244
460,30,65518,246
461,26,65510,250
462,26,65512,242
463,34,65518,250
464,26,65510,246
465,28,65514,254
466,26,65508,244
467,24,65510,248
468,26,65520,246
469,22,65518,242
470,32,65510,250
471,32,65516,246
472,24,65516,252
473,26,65516,240
474,22,65506,244
475,22,65510,244
476,22,65516,258
477,30,65516,254
478,26,65518,246
479,22,65518,246
480,28,65518,246
481,20,65520,246
482,18,65516,242
483,18,65510,248
484,18,65524,244
485,24,65518,254
486,30,65518,246
487,20,65524,246
488,30,65518,252
489,20,65512,244
490,20,65514,246
491,22,65510,242
492,26,65520,248
493,28,65512,246
494,26,65528,248
495,24,65516,242
496,28,65516,242
497,24,65522,250
498,16,65514,242
499,18,65506,250
500,26,65518,246
501,28,65520,246
502,20,65514,248
503,26,65522,250
504,24,65522,250
505,18,65514,244
506,12,65516,242
507,22,65518,244
508,26,65524,244
509,24,65524,248
510,20,65518,252
511,26,65520,254
512,24,65520,248
513,16,65510,244
514,18,65516,246
515,20,65518,246
516,26,65516,248
517,20,65520,248
518,20,65516,252
519,20,65520,252
520,24,65514,246
521,18,65508,242
522,14,65512,240
523,24,65520,244
524,24,65518,254
525,26,65516,244
526,20,65520,246
527,18,65520,252
528,16,65518,246
529,16,65518,244
530,14,65518,242
531,26,65522,246
532,24,65522,246
533,20,65522,244
534,26,65520,246
